78,75,179,3.477,25,88
64,68,177,3.251,26,90
49,58,140,2.697,36,51
83,73,174,3.159,24,75
132,91,304,3.957,17,158
148,91,307,4.147,16,160
63,54,146,2.935,20,77
47,45,101,2.417,36,35
97,67,153,2.784,20,71
145,87,242,3.003,17,137
86,69,202,2.602,25,122
64,57,130,2.133,26,44
91,73,206,2.653,19,91
112,90,274,3.127,16,143
137,100,384,3.476,19,239
120,109,391,3.666,22,260
83,94,267,3.025,23,173
99,78,182,2.382,21,97
59,60,155,1.668,39,57
55,70,110,2.091,37,48
94,83,204,2.562,21,103
104,98,245,2.971,25,151
126,105,308,3.123,31,218
98,81,270,2.396,24,165
83,78,191,2.165,26,99
91,72,223,2.212,31,134
86,84,288,2.801,36,199
91,80,284,2.822,37,195
86,89,326,3.029,57,238
94,93,421,3.269,83,303
125,89,674,3.827,33,506
67,76,469,3.833,43,339
64,91,488,4.256,68,369
51,57,329,2.596,57,204
56,37,194,1.915,30,63
32,31,89,1.645,27,61
50,35,93,1.856,24,75
51,48,165,2.172,32,130
78,49,235,2.378,25,180
54,37,97,1.862,41,64
63,45,122,1.993,42,85
97,57,169,2.02,33,129
94,58,230,2.39,35,183
103,56,185,2.293,49,151
99,63,239,2.523,36,187
90,72,315,2.917,29,247
79,64,292,2.716,24,224
47,49,178,2.394,22,140
62,46,183,2.177,33,140
57,60,175,2.173,54,129
68,64,234,2.164,49,170
78,62,277,2.13,26,209
80,67,341,2.453,29,250
74,69,347,2.541,31,255
69,65,341,2.602,23,247
60,64,363,2.658,29,245
43,51,250,2.448,14,150
45,42,208,1.964,32,74
38,39,115,2.116,14,89
38,47,169,2.567,16,121
57,63,256,2.927,16,165
55,65,307,2.967,16,202
49,50,171,2.37,45,100
54,54,194,2.64,19,121
44,52,161,2.86,15,124
45,46,160,2.767,25,115
49,52,136,2.991,48,87
41,57,159,2.85,63,78
50,59,209,2.833,61,110
46,48,149,2.344,50,74
26,31,157,1.64,56,32
32,41,99,1.667,65,32
32,51,131,1.8,52,44
33,53,144,1.925,67,55
34,61,198,2.322,66,79
32,53,224,2.21,58,80
35,58,357,2.33,24,108
32,43,185,2.27,54,74
18,33,106,1.74,57,27
28,51,171,1.822,60,49
38,62,185,2.327,74,85
35,54,174,2.32,69,68
35,47,134,1.967,72,54
27,55,159,2.055,88,65
35,66,214,2.125,100,81
24,41,164,1.642,74,56
23,44,302,1.6,41,70
31,55,368,1.664,76,92
26,56,199,1.782,28,85
19,36,138,1.764,59,78
24,54,142,1.9,71,71
32,58,164,1.8,52,76
27,48,137,1.8,60,75
27,48,142,1.9,56,73
22,47,130,1.8,77,55
27,46,161,1.8,75,50
19,46,134,1.9,97,52
23,63,176,2.1,97,63
23,61,188,2.2,117,83
21,59,190,2.3,39,93
10,36,97,2,31,61
13,44,93,2.1,63,53
15,48,139,2.3,108,74
13,39,140,1.9,65,71
8,35,84,1.4,39,45
8,34,87,1.5,38,49
12,45,116,1.6,60,56
9,40,117,1.8,37,64
8,33,62,1.7,44,35
12,39,113,1.6,31,58
8,34,66,1.2,33,35
12,39,89,1.2,66,37
15,48,146,1.3,72,69
16,41,164,1.3,79,86
8,21,181,0.9,51,69
11,32,178,1.1,70,48
15,42,305,1.3,78,81
18,49,297,1.7,90,81
15,45,223,1.6,95,70
21,51,217,1.7,94,70
16,37,212,1.3,54,60
15,31,149,1.2,75,45
21,42,188,1.4,43,57
14,29,148,1.3,84,47
23,38,137,1.3,73,49
20,38,148,1.4,99,60
19,41,139,1.4,107,51
20,33,158,1.4,94,56
14,18,184,1.3,86,80
9,19,60,1.3,28,36
10,23,78,1.3,78,25
16,40,112,1.5,53,41
13,32,104,1.5,34,45
11,26,81,1.3,62,28
14,30,96,1.3,98,34
19,42,127,1.7,34,50
20,38,130,1.7,103,56
21,37,135,1.6,127,57
12,21,146,1.4,94,56
16,36,164,1.7,98,64
17,33,134,1.6,116,53
10,21,108,1.6,85,54
7,25,70,1.6,77,39
10,22,90,1.6,88,40
11,25,362,1.4,50,115
11,29,227,1.6,90,83
14,32,148,1.8,71,57
16,38,162,1.7,115,64
17,36,137,1.7,118,58
18,40,158,1.9,41,60
14,25,160,1.9,103,71
14,22,105,1.7,129,57
12,23,140,2,154,72
13,17,120,1.8,126,58
