68.0,36.0,123.0,1.559,35.0,58.0
49.0,30.0,68.0,1.465,47.0,35.0
142.0,53.0,183.0,2.404,24.0,117.0
170.0,86.0,296.0,3.409,26.0,212.0
121.0,100.0,414.0,4.206,23.0,309.0
126.0,109.0,418.0,4.374,26.0,314.0
127.0,95.0,423.0,4.131,30.0,314.0
114.0,71.0,279.0,3.11,39.0,180.0
156.0,108.0,402.0,3.673,27.0,279.0
108.0,86.0,306.0,3.319,55.0,192.0
149.0,92.0,336.0,3.576,32.0,214.0
153.0,112.0,520.0,4.821,30.0,388.0
104.0,54.0,245.0,2.309,59.0,82.0
109.0,75.0,289.0,3.53,46.0,148.0
126.0,76.0,278.0,3.481,43.0,164.0
173.0,103.0,383.0,4.617,33.0,258.0
172.0,112.0,513.0,5.77,25.0,390.0
78.0,50.0,108.0,2.374,67.0,67.0
91.0,65.0,188.0,3.088,57.0,134.0
98.0,92.0,286.0,3.731,44.0,213.0
59.0,47.0,106.0,2.276,78.0,42.0
78.0,64.0,168.0,3.205,59.0,101.0
114.0,77.0,197.0,3.578,51.0,127.0
165.0,87.0,314.0,4.747,33.0,245.0
121.0,86.0,374.0,4.958,51.0,295.0
156.0,98.0,463.0,4.917,38.0,359.0
91.0,78.0,368.0,4.519,35.0,297.0
101.0,89.0,471.0,5.485,27.0,381.0
86.0,79.0,382.0,5.268,29.0,310.0
53.0,52.0,169.0,4.406,20.0,138.0
82.0,57.0,146.0,4.344,45.0,114.0
95.0,67.0,311.0,5.01,30.0,265.0
72.0,50.0,196.0,4.039,36.0,152.0
67.0,49.0,148.0,3.697,39.0,126.0
113.0,49.0,128.0,3.724,63.0,92.0
79.0,44.0,150.0,3.982,64.0,107.0
53.0,42.0,117.0,3.742,82.0,64.0
86.0,48.0,304.0,4.464,76.0,256.0
91.0,55.0,290.0,3.348,56.0,226.0
37.0,42.0,124.0,1.741,60.0,86.0
48.0,44.0,115.0,1.586,42.0,92.0
68.0,51.0,126.0,1.766,45.0,99.0
82.0,63.0,179.0,2.255,67.0,134.0
63.0,72.0,171.0,2.324,78.0,121.0
74.0,83.0,266.0,2.715,75.0,201.0
104.0,86.0,361.0,3.388,37.0,289.0
124.0,100.0,421.0,4.014,53.0,322.0
103.0,92.0,424.0,3.578,85.0,309.0
70.0,74.0,413.0,3.019,65.0,220.0
45.0,43.0,250.0,0.983,72.0,48.0
77.0,62.0,271.0,1.322,69.0,79.0
69.0,77.0,290.0,1.804,90.0,103.0
94.0,92.0,347.0,2.348,85.0,162.0
61.0,71.0,371.0,1.818,83.0,122.0
64.0,81.0,340.0,2.013,69.0,116.0
66.0,91.0,256.0,2.178,89.0,97.0
34.0,62.0,1020.0,1.687,53.0,241.0
68.0,53.0,194.0,1.848,35.0,79.0
57.0,63.0,816.0,2.081,35.0,210.0
71.0,66.0,817.0,2.547,30.0,265.0
56.0,53.0,224.0,2.367,51.0,119.0
72.0,75.0,275.0,2.503,58.0,168.0
59.0,80.0,307.0,2.816,29.0,202.0
37.0,82.0,265.0,2.312,68.0,67.0
45.0,85.0,310.0,2.704,55.0,102.0
42.0,60.0,267.0,1.912,72.0,80.0
45.0,72.0,263.0,2.22,45.0,121.0
45.0,89.0,236.0,2.329,61.0,116.0
45.0,80.0,309.0,2.634,83.0,147.0
55.0,69.0,207.0,2.614,25.0,101.0
30.0,64.0,158.0,2.598,88.0,94.0
45.0,87.0,227.0,2.917,67.0,90.0
52.0,84.0,239.0,2.928,74.0,92.0
49.0,68.0,283.0,2.561,62.0,142.0
55.0,82.0,299.0,2.772,91.0,162.0
39.0,81.0,317.0,3.161,94.0,157.0
65.0,75.0,222.0,2.766,38.0,92.0
57.0,82.0,227.0,2.93,106.0,121.0
22.0,39.0,167.0,2.057,60.0,46.0
24.0,57.0,147.0,2.267,72.0,57.0
39.0,78.0,180.0,2.673,72.0,76.0
21.0,68.0,248.0,2.365,77.0,69.0
20.0,39.0,127.0,1.923,84.0,39.0
26.0,61.0,145.0,2.138,80.0,51.0
45.0,93.0,168.0,2.35,81.0,64.0
31.0,65.0,145.0,2.521,81.0,58.0
29.0,60.0,139.0,2.235,91.0,52.0
40.0,62.0,159.0,2.291,107.0,57.0
33.0,45.0,145.0,1.886,99.0,53.0
40.0,60.0,266.0,2.443,125.0,102.0
32.0,42.0,380.0,2.138,77.0,121.0
14.0,34.0,117.0,2.054,47.0,73.0
17.0,39.0,93.0,2.025,41.0,68.0
17.0,50.0,206.0,2.67,13.0,137.0
19.0,62.0,190.0,2.489,60.0,111.0
27.0,79.0,231.0,2.243,84.0,111.0
32.0,82.0,231.0,1.69,106.0,88.0
35.0,79.0,214.0,1.69,117.0,88.0
25.0,71.0,190.0,1.782,133.0,74.0
36.0,77.0,260.0,1.849,125.0,123.0
20.0,46.0,114.0,1.257,52.0,43.0
23.0,43.0,85.0,1.182,116.0,41.0
26.0,54.0,122.0,1.346,126.0,46.0
33.0,59.0,167.0,1.685,141.0,60.0
23.0,47.0,164.0,1.493,129.0,82.0
16.0,41.0,128.0,1.522,54.0,85.0
20.0,47.0,155.0,1.548,38.0,98.0
20.0,45.0,109.0,1.318,48.0,71.0
21.0,43.0,70.0,1.263,66.0,23.0
26.0,56.0,107.0,1.241,107.0,43.0
27.0,48.0,100.0,1.104,108.0,37.0
32.0,58.0,147.0,1.233,131.0,56.0
29.0,53.0,142.0,1.211,98.0,62.0
26.0,49.0,184.0,1.223,85.0,83.0
18.0,42.0,143.0,1.301,97.0,83.0
