influenza_num,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI
198,9.7,5.4,15.0,1.9,53,970.2,0.0,100.0,87.0,3.14,283.0,371.0,77.0,333.0
353,8.6,4.7,12.3,1.3,63,972.5,0.0,104.0,86.0,3.388,289.0,361.0,37.0,339.0
292,8.4,3.2,15.8,1.6,68,972.0,0.0,124.0,100.0,4.014,322.0,421.0,53.0,372.0
307,10.1,5.2,16.2,1.9,58,967.7,0.0,103.0,92.0,3.578,309.0,424.0,85.0,359.0
240,10.4,7.0,14.9,2.6,47,965.2,0.0,70.0,74.0,3.019,220.0,413.0,65.0,290.0
282,4.7,3.2,11.6,3.3,18,981.2,0.0,45.0,43.0,0.983,48.0,250.0,72.0,150.0
195,6.5,1.9,13.0,2.5,31,983.6,0.0,77.0,62.0,1.322,79.0,271.0,69.0,161.0
290,11.1,3.7,18.9,2.7,29,979.6,0.0,46.0,65.0,1.608,91.0,290.0,94.0,170.0
388,10.6,3.0,18.3,2.3,32,974.5,0.0,69.0,77.0,1.804,103.0,290.0,90.0,170.0
289,11.9,4.4,19.9,1.8,31,969.1,0.0,94.0,92.0,2.348,162.0,347.0,85.0,212.0
370,16.2,8.5,23.4,3.5,26,970.6,0.0,61.0,71.0,1.818,122.0,371.0,83.0,230.0
257,15.6,7.4,26.0,1.9,29,967.9,0.0,64.0,81.0,2.013,116.0,340.0,69.0,195.0
332,19.8,12.1,30.3,2.3,27,960.5,0.0,66.0,91.0,2.178,97.0,256.0,89.0,153.0
217,17.5,12.2,23.4,3.6,26,961.3,0.0,34.0,62.0,1.687,241.0,1020.0,53.0,500.0
266,10.2,7.9,16.8,5.5,20,972.8,0.0,41.0,39.0,1.37,87.0,538.0,52.0,438.0
404,7.6,4.3,11.1,3.5,44,968.1,0.0,68.0,53.0,1.848,79.0,194.0,35.0,122.0
310,13.0,9.2,19.0,3.0,33,966.5,0.0,57.0,63.0,2.081,210.0,816.0,35.0,500.0
420,11.4,8.7,15.4,5.1,42,971.1,0.0,71.0,66.0,2.547,265.0,817.0,30.0,500.0
313,8.9,6.4,11.9,4.2,53,974.2,0.0,56.0,53.0,2.367,119.0,224.0,51.0,156.0
397,9.4,3.4,15.4,2.0,53,970.1,0.0,72.0,75.0,2.503,168.0,275.0,58.0,218.0
203,12.0,10.0,14.0,2.3,59,969.9,0.0,59.0,80.0,2.816,202.0,307.0,29.0,252.0
306,15.2,9.7,23.3,3.0,51,967.6,0.0,48.0,63.0,2.482,114.0,235.0,95.0,149.0
456,17.6,10.8,25.5,2.2,26,961.0,0.0,37.0,82.0,2.312,67.0,265.0,68.0,158.0
349,17.9,12.5,24.6,1.9,29,957.0,0.0,45.0,85.0,2.704,102.0,310.0,55.0,180.0
480,15.7,11.0,20.9,3.6,29,967.2,0.0,42.0,60.0,1.912,80.0,267.0,72.0,159.0
