555,272
4122,624
3582,500
7087,775
4641,568
3916,498
8788,788
7925,620
7530,709
7463,704
7107,719
4052,536
435,218
8943,834
7982,737
7792,718
7562,739
7147,831
3682,528
476,226
9021,805
8127,755
7593,740
7593,695
7050,655
3527,502
434,202
9117,809
7863,632
7405,583
7356,604
6743,522
3337,424
346,172
8186,743
6917,551
5589,532
4540,418
3204,405
263,109
349,165
341,171
372,173
2699,373
2250,297
2939,320
4718,479
5014,473
7536,538
7589,467
7601,518
7653,519
7142,483
3784,337
319,112
8810,637
8375,546
7891,478
8181,573
7135,533
4164,365
433,152
9558,626
8909,577
8225,535
8047,520
7340,492
3691,386
346,114
9352,707
8412,605
7903,594
8135,598
7597,672
3824,353
375,108
9887,716
8656,562
8373,666
8141,636
7332,502
4004,349
457,157
9739,806
8857,626
8109,656
8137,592
7189,544
3770,435
390,144
9477,751
8602,656
8050,583
337,70
4943,506
3241,338
5900,504
9182,763
8353,603
8478,628
8161,576
7434,588
4022,404
444,163
10005,773
9147,658
8346,662
8731,651
6736,657
4105,462
421,133
9410,741
8774,664
8717,668
8113,561
7549,626
5139,451
5224,555
4324,500
3651,449
463,196
9220,675
8497,715
4245,499
538,183
10310,788
9377,697
8537,596
8416,614
7827,593
4264,456
565,285
9640,644
8772,716
8305,657
8352,688
6637,545
3951,396
411,122
9581,778
9163,708
8183,705
7895,592
7005,545
3710,385
498,186
9898,765
7462,597
7627,638
7700,601
7140,628
4080,405
600,241
9388,712
8059,626
7968,655
8095,609
7221,599
4632,503
4464,432
4597,563
3938,440
565,213
9715,711
8096,553
4365,425
619,241
10268,671
8893,598
8501,617
7959,492
7332,609
4111,448
576,251
9715,709
8365,596
8018,633
7918,584
6806,573
3879,444
556,260
9147,632
8095,588
7906,581
7594,514
7438,607
3733,307
501,233
9691,719
8300,655
8070,581
7993,644
7273,581
3920,457
557,237
9848,692
8426,642
8518,660
7768,568
7495,564
3993,434
418,157
9370,651
9236,648
8725,549
8630,560
7372,554
3806,350
415,142
9760,775
8761,544
8753,568
7736,448
7475,537
4003,400
410,156
9201,646
8075,552
8201,561
7619,526
7801,538
3955,381
441,162
9863,705
8331,517
8063,606
7649,488
7019,433
3778,302
421,142
9482,652
8774,594
8487,673
7921,555
7402,491
4383,482
337,139
10046,707
8947,527
8305,557
8041,511
7733,531
3906,392
414,152
9544,664
8970,585
8196,487
8070,579
7442,477
4731,403
420,149
9555,667
8946,614
8402,570
7932,598
7200,668
4515,376
447,162
9922,781
9162,603
7778,544
390,129
3917,425
4421,444
6066,513
9263,616
8609,581
8350,500
8340,604
7976,521
5187,475
4858,499
7618,645
397,106
516,156
406,126
4763,406
4427,465
3480,427
4457,476
10066,649
9715,618
9036,620
8240,573
4599,422
482,196
10597,688
9622,599
8650,653
8267,653
7788,543
4134,419
483,206
10148,732
9297,614
9339,664
8414,581
7854,541
4231,468
442,175
10218,775
9163,668
8289,628
7470,516
7465,499
3968,424
371,126
9370,620
9181,624
8796,607
8171,545
7724,534
3941,371
390,155
10219,735
9074,656
9030,614
8267,532
7468,517
4285,423
489,224
10230,781
9039,666
8678,677
8241,643
7433,626
4205,480
444,214
10196,887
8972,617
8757,639
8410,629
7866,551
4278,473
520,241
10236,806
9226,693
9281,701
8460,630
8160,589
4466,415
506,213
10105,727
9754,700
9342,752
8274,605
7993,635
4627,531
493,193
10709,802
9331,663
8791,592
7984,560
7125,547
4084,450
465,190
9464,680
8427,586
8524,686
8062,651
7587,604
4208,447
475,207
9400,731
8151,688
529,230
8777,774
8128,667
4282,515
451,209
9990,806
9102,758
8709,707
8161,659
8068,681
4368,526
432,222
10518,795
9114,766
9124,822
8459,750
8187,722
3727,501
522,232
10055,848
8987,739
8242,724
7703,659
7334,729
3670,503
3340,430
7422,729
5905,542
4940,595
2080,378
365,175
373,145
434,169
450,201
3555,419
2931,363
3259,359
6469,545
5091,464
338,129
10072,669
8753,599
8656,485
7535,443
6120,406
3895,312
275,100
9460,542
8898,503
9476,509
9180,529
8597,459
4367,335
392,99
10592,639
9473,491
9415,460
8707,491
8114,356
4390,262
271,78
10713,612
9731,514
9528,559
8542,513
8264,424
4422,368
344,93
10336,653
9311,469
9635,565
8780,496
8330,501
4438,324
465,136
10580,672
9605,543
9353,610
9218,577
8042,480
4583,354
458,154
10713,696
9664,682
9616,621
8855,541
8239,545
4480,445
398,168
10379,850
9569,577
9125,618
8578,575
7876,492
3280,327
376,156
5180,563
10688,672
9890,697
9083,625
8074,558
4519,352
370,139
10509,670
9787,606
9334,683
9243,570
7891,550
4384,384
396,157
10062,590
9774,646
9618,685
8982,510
7461,513
4123,363
423,165
10684,745
9517,668
8942,635
452,153
4564,466
3462,396
7131,631
9871,763
9513,669
9307,656
8726,709
7943,540
3899,363
474,146
10960,739
9428,617
9438,681
8647,579
7893,588
4098,368
428,164
10684,779
9786,677
9553,626
8834,514
8025,609
4128,387
445,169
10358,678
9714,679
9202,723
8750,621
7563,498
3855,343
473,199
3845,450
9370,659
9627,616
9062,576
7769,526
4272,368
422,144
10327,847
9168,657
9162,613
8585,556
7650,521
4090,317
386,157
10221,722
9195,551
8691,526
8554,551
7593,459
4138,323
423,164
9742,649
9012,532
8489,475
8112,500
7448,525
3783,268
381,125
9917,684
8987,571
8723,451
8725,568
8100,446
3865,260
409,146
10184,614
9195,588
8348,477
8265,468
7740,465
3934,301
389,150
9954,621
9030,528
8930,509
8216,521
7560,472
3729,284
385,144
10260,588
8274,474
8196,415
7886,432
7051,403
3765,204
337,93
9388,552
8247,436
7819,418
7405,447
6403,389
3440,261
324,109
9014,495
8361,448
7773,474
7332,410
6959,401
3794,296
348,102
9583,519
8719,480
8390,450
8396,398
7951,440
4051,287
334,85
10296,607
9845,555
9307,473
8952,493
10182,435
4166,312
304,85
10396,729
9730,583
9205,543
8759,526
8021,478
4022,325
373,115
9152,550
8164,457
8257,572
8291,535
7389,552
3866,353
307,117
3215,337
8301,563
8670,536
8733,565
7337,492
4087,336
371,95
9082,574
8645,509
8359,460
9033,505
7680,528
4275,347
397,139
10147,688
9418,599
8645,563
8862,587
8118,638
4050,357
4675,438
9033,621
7649,516
456,130
433,152
444,138
4841,408
3963,444
4535,489
4569,469
9855,663
9474,595
8751,567
5159,419
376,133
10681,710
9840,541
8907,595
8584,529
8274,555
4420,369
383,147
10516,683
9458,623
9336,583
9045,658
8098,549
4360,421
439,152
10856,793
9652,684
8756,606
8688,540
7901,606
4345,344
401,146
10362,783
9373,713
8483,628
8456,597
7887,610
4379,348
414,136
10198,833
9358,766
8574,696
8693,602
6518,475
4288,370
463,201
8429,638
9355,655
8978,686
8793,598
7600,574
3706,330
403,143
10362,831
9696,692
9188,736
8638,675
8234,617
4301,414
415,165
10469,797
9422,768
9047,610
8689,600
7860,707
4455,466
497,186
10273,797
9279,692
8599,667
8929,724
7991,666
4457,437
393,147
10454,894
9464,765
9265,632
8887,656
7878,640
4383,469
435,168
10139,885
9562,768
8550,618
8247,592
7576,652
4340,460
499,180
10184,833
9079,741
8052,743
377,138
4360,373
3479,409
6428,574
9574,696
10566,754
9153,791
9043,694
8139,609
4400,460
